,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12
pivot_hour_h05,0.17896763433620946,0.027255623233574222,-0.0004272394800722263,0.08183671856297142,-0.027826722477711775,0.10261317817145223,-0.019683532312592796,0.004512902657185742,-0.03621181319118003,0.024855116562232264,0.021760650249063502,0.04155786779379421
pivot_hour_h06,0.17507491193748442,-0.03772524967737607,-0.008203252938416252,0.06568055608662234,0.01691415793432833,0.13123554429088227,-0.009247118176400464,0.03403943202082405,-0.10304610222186743,0.023045973841749993,-0.015868752264996032,-0.014907231418235764
pivot_hour_h07,0.16754892061768287,-0.09957718185581861,0.0016170680604116994,0.020285948468570784,0.008036645826504745,0.10621992297257989,0.006877247538746925,-0.005085515579428805,-0.08317098436105322,0.015986413649645932,0.012198481738203718,-0.0442596457937817
pivot_hour_h08,0.16209331228160329,-0.1268089392983169,-0.00035239951627253485,-0.015618234577163354,-0.05901886716081241,0.0409106938767922,0.021400315315960528,-0.0002779652763713828,-0.021249675806484365,-0.05421214873662943,0.018107210441818723,-0.037459178227815436
pivot_hour_h09,0.15783275001407282,-0.12867688960004398,0.0067876337997732315,-0.04426277347262453,-0.11374351857728557,0.01262008475936218,0.04435436010131639,0.003274068441824469,-0.01420312509949058,-0.05265895457258078,-0.00459226665638874,0.00470110523402514
pivot_hour_h10,0.15777270756546455,-0.11751235751717654,0.022401539142685122,-0.06309570711493107,-0.145273900282599,-0.005665299854205348,0.05542181269983544,0.022776898179893954,-0.006299445475123885,-0.050275350878974424,-0.014051791867941707,0.016002610925794115
pivot_hour_h11,0.15653885934908846,-0.11645726226103414,0.028195069401533136,-0.0776553417573602,-0.15030209158000857,-0.02211040677637147,0.06886661865544619,0.028192122198865837,0.008476727916042509,-0.05473074811321278,-0.021487145129959903,0.01615330350270991
pivot_hour_h12,0.1536786717039397,-0.11783413017478658,0.03242954409437688,-0.0883277248561124,-0.15652277799009004,-0.04434881995824559,0.07672702735035954,0.028898382622097235,0.014483071553852887,-0.049772669119056985,-0.030086757088643532,0.010953393405275614
pivot_hour_h13,0.14959881042780865,-0.12240001651227816,0.033363746781775894,-0.10027016866445695,-0.1528469483372208,-0.05663706310411961,0.06766439443409526,0.03613928672305276,0.02145541313440609,-0.040272547720299263,-0.025569804222598146,0.01554081344548313
pivot_hour_h14,0.149732796282349,-0.12745385853014457,0.02271462540675386,-0.0970728463135807,-0.13473602758411987,-0.06196831604434295,0.05449357933615184,0.05008695686755695,0.012683415528354643,-0.04634143492820585,-0.02815914449529732,0.005940955309239362
pivot_hour_h15,0.15602075114112876,-0.13520088695630741,-0.007997964918676376,-0.06094282100570516,-0.06384341176096929,-0.0693473979744129,0.04627324618117794,0.05178549375989489,0.005565196287889952,-0.06884978359866267,-0.00921029011617116,-0.03637011769304029
pivot_hour_h16,0.16010399346219967,-0.1304521696558414,-0.02764766287188683,-0.016545279577467632,0.031206491736480244,-0.060009471848190665,0.01435648555562977,0.049137894405873184,0.000185677591322098,-0.061965612192134964,-0.001832246193516954,-0.06850546361555786
pivot_hour_h17,0.16877215168902043,-0.09869930563583505,-0.03801751609906446,0.0033965632086168755,0.09722494996550574,-0.038054479547060045,-0.011536705080504809,0.056598590500876664,-0.027785892280285898,-0.029675303235482377,-0.045579556479475564,-0.0403417059644428
pivot_hour_h18,0.17220361996888922,-0.05770694082149123,-0.03366536186139602,-0.006850277654612421,0.15053888712192923,0.0068652518130398,-0.030514926932092224,0.025182642144321428,-0.11040122411089473,0.006028326244454636,-0.0327083038115169,-0.0021003199673128867
pivot_hour_h19,0.1700989998667335,0.002986074578735681,-0.016373868665820513,-0.03679758108811172,0.1634159590645119,0.006588123722141701,-0.07026764842747264,-0.0210473060184278,-0.16408080556775234,0.028103974728398397,0.07048789356387056,-0.021215392756702506
pivot_hour_h20,0.1777242599907362,0.02174786525717357,-0.02365045083105806,-0.013505130068425427,0.12896903823342404,-0.023586977297940667,-0.07245886630790194,-0.022342612112975904,-0.07365021887483077,0.054179982804871706,0.08618642441149096,0.03448666390672434
pivot_hour_h21,0.1815410030169412,0.010298743869959937,-0.03520139904941017,0.0020049867356858467,0.10360449512884026,-0.0447210577024371,-0.05966515347405262,-0.021459133067396125,-0.034780477630935905,0.04505539459727259,0.08295066791212168,0.03894682721831707
pivot_hour_h22,0.17494677195046315,0.03087172217563545,-0.03403395894370415,-0.017113343623431962,0.09181711294544533,-0.07989632459897412,-0.05007317500958921,-0.027103704357963585,-0.017791671408584283,0.03397042360228717,0.11708640069783002,0.02527449882600646
pivot_hour_h23,0.16955461891272025,0.04366425103878197,-0.02912563808604885,-0.04523923193750552,0.07474409706479693,-0.0936684730079681,-0.0498025437795423,-0.024074503069663356,-0.03190037589482489,0.05544759330045258,0.11512658427385923,0.023257889976963965
