,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15
gen_evening,0.10493572222007953,0.016258635865764853,0.22198695906461355,-0.16060891332419283,-0.18449156407287304,0.16447357239113533,0.031511133055097694,0.08013853209130826,0.0338085160422364,-0.12234485108813581,-0.08206191036995344,-0.06387339947198663,0.09587083936050195,-0.0952087238731265,0.01184473139048639
gen_night,0.06534189513024437,-0.05236779258194979,0.22132883398463515,-0.12490237187681247,-0.17784242745296025,0.21274416161064216,0.06347127805831997,0.08979891364878369,0.07828157993445327,-0.09691500604012956,-0.09425152295358982,-0.15507333232310397,0.11240977671560716,-0.16625859200458507,0.05503031985633148
evening_ramp_load,-0.010122235681940022,-0.006343982150101483,-0.04627424269219189,-0.009145843895244251,0.05738445435165594,0.3622780323153111,0.07121270664792334,0.11573553496467064,-0.076259576104183,-0.1311839640887695,-0.23182962609333296,0.06406807266282406,0.08659031596193213,0.38753052915293457,-0.31285323840697343
morning_ramp_load,0.01399521373123956,0.07944687717586843,0.15244351809237383,-0.05175520953917697,-0.17493271507535924,-0.27158956218431896,0.026104959081364704,-0.09520773181210765,0.043596902946229185,0.041675809613700654,0.2417176760451049,-0.12071514596413371,0.12650309687874403,-0.026502519205929952,-0.17653076033853368
solar_concentration,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,8.758115402030107e-47,-5.739718509874451e-42,0.0,9.183549615799121e-41,-0.0,0.0,7.52316384526264e-37
is_weekend,0.01458068459069388,-0.011768806813057637,-0.14406834873261395,-0.029828971305445505,0.3395074293844458,0.3140384544028908,-0.13827304403853002,0.10230684439960032,0.06172104346805274,-0.05488117929528526,-0.14212799941372223,-0.02794304267509882,0.06630202583011663,-0.10457097342051085,0.015149821284055743
is_holiday,0.004869781130042282,0.006541253181364611,-0.07953897998787274,0.04031822061339894,-0.0676546806947897,0.06281065650874237,0.10068377143296882,-0.17325434854879582,-0.11704231098721189,0.16655661874220337,-0.1226453407122706,0.4474005213865756,0.04697767287123026,-0.029368882301476423,0.5367427372635057
month_sin,0.11927764418799792,0.013199499504824413,-0.1909197612992038,-0.05998657163459281,-0.08396901603535958,0.11474548919256353,0.22535733178020634,-0.2111301769674848,-0.0938640148694762,0.12123357350394552,-0.019053225942004516,-0.08311674566911745,-0.05872311902227053,-0.13889775914733946,-0.08037546735609409
month_cos,0.05183641722059553,0.22280379837782438,0.08370160229943038,-0.07436521501214671,0.11116982587211191,0.01820609811016165,-0.052090642244520535,0.0825633266837241,0.12419902155755894,-0.04654997938130257,0.07791247006842715,0.12487204680077205,0.024107793956484012,0.06839469271602079,0.04228233726439747
dow_sin,-0.010332038999022805,0.013348197614435673,0.1341909948628737,0.045647425307301454,-0.30595904227090814,-0.2827371840538136,0.11720227883011836,-0.06659843410014317,-0.06179052130649761,0.04693676353994339,0.1219187650064079,0.14271509172127142,-0.08590582988560756,0.2090236006753562,-0.2335030908467715
dow_cos,-0.031406971087763316,-0.001596808059839232,-0.14222446429984612,-0.07857612550391974,-0.06848062184928769,0.15743690806930183,-0.011915579303074212,0.2633782988932416,0.005610991382705775,0.01858463500054529,0.1572339942933954,0.4340801935328745,0.08054367792490857,-0.11401643906526432,-0.3249044445096111
pivot_hour_h00,0.1534043441711653,-0.10674852779825685,-0.05186053554799374,0.10298266648237504,-0.0413306615388135,0.0996388370390847,0.04058411940276481,0.0447427868952614,-0.0013572223951930744,-0.045882547167913866,0.1598976292514259,0.09603141190757021,0.11716330003511147,-0.016124453936422554,-0.06052696508010474
pivot_hour_h01,0.15640546566477959,-0.10661474332773833,-0.03684332755672922,0.10834183925767704,-0.037140652145207606,0.10395015232607398,0.043374579928174,0.047297834275269644,0.0005621112292622925,-0.04621464931857546,0.15660936052088928,0.0987198896070396,0.09881843665072572,-0.003781282998183395,-0.04850294956331062
pivot_hour_h02,0.15486553635497188,-0.11474809411804245,-0.027372151339282166,0.11503685175349301,-0.04441954089894532,0.10162821019660759,0.052473157879277574,0.03818752001074981,-0.0025122463431232543,-0.056704267999056396,0.14089405090234172,0.09369272144033183,0.0835880216914401,0.004623972660305279,-0.03713118788109691
pivot_hour_h03,0.15580179180019665,-0.12150146235415797,-0.023183293782360934,0.12245791045823351,-0.06465909695901918,0.07575655071167545,0.04170669914458635,0.02429939536802894,0.0023258189660967767,-0.03618601107878406,0.09732421001990263,0.06148878386681963,0.037779460264984716,0.011186266170208247,-0.02979182003383601
pivot_hour_h04,0.1610582182941063,-0.11206305501618168,-0.025251427853984845,0.1248450316443313,-0.07641637668233983,0.05107220202196724,0.034379027872755694,-0.0016890977892638221,0.011886170068288869,-0.021921745003560093,0.028320457066216623,0.0009156647779777236,0.025753568110668115,0.005318173401905071,-0.046857491992995715
pivot_hour_h05,0.16779787555933864,-0.08643996618373774,-0.0357435037255252,0.1086001995821814,-0.0594679036243132,-0.02679768770721527,0.024662639347375833,-0.024347463141393383,0.06114943700352468,-0.020291891103758272,-0.09983325889571945,-0.019410239842756857,0.006836906699339042,0.07186489367847045,-0.03368160873286075
pivot_hour_h06,0.1747636050641963,-0.056068399101112075,-0.019204882233778756,0.08420800646654289,-0.011584943404434181,-0.08481954644928194,0.0197643721645365,-0.042311565164611833,0.1054833799944661,-0.013298307060351273,-0.1443858294328258,-0.008624889167608424,-0.009561159574440613,0.10079280960631323,-0.025977266237608064
pivot_hour_h07,0.1821556399113667,-0.02231625498661725,0.00841254220616443,0.05963332922838837,0.03521848894139038,-0.07887983050193288,0.00164448199707491,-0.025067029389681212,0.1272976095790046,-0.02337957641765171,-0.10119502945456356,-0.010853822631332161,-0.006109905721500367,0.08876115165686506,-0.013303724779443995
pivot_hour_h08,0.18337525254379003,-0.0035032921252334983,0.026439040878302553,0.060713122768059624,0.0919639565949881,-0.061962374456576236,-0.024357380419020115,-0.020546750069719233,0.08676533505016047,-0.012115482563477654,-0.07603006476299101,-0.01681878253398827,-0.004701917334581586,0.06468513228539213,0.00952046049278158
pivot_hour_h09,0.18311358793539634,0.01286122987782806,0.05001293689424018,0.05319847477561073,0.1225449655721703,-0.059373030563616626,-0.034252531553404436,-0.023676755463216587,0.03339703625688895,-0.0036071911395934983,-0.05042759380531445,-0.0017969214770016497,-0.007176773441822661,0.0484873591087699,0.016582232331940165
pivot_hour_h10,0.1808928878368296,0.024915956182903133,0.06039150772938157,0.04097935251295655,0.14124014275998656,-0.05772794198012233,-0.038989338668553086,-0.03227270777327047,-0.018894928264568008,0.014802356313629545,-0.027800481661015796,-0.021897794819522132,-0.030527335010594663,0.05757559580600989,0.0287391210424407
pivot_hour_h11,0.17778176525575032,0.03861707767286305,0.07569421026460019,0.031776337828286594,0.14477750977176976,-0.05844401302280746,-0.036900103692067227,-0.03432746255005268,-0.05100487186464911,0.03322832467090355,-0.008521531290393453,-0.03942948872645525,-0.04083454606391908,0.05406669433771675,0.02798851175207729
