,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16
temp_sq,-0.11717199124829572,-0.06988664526275368,-0.08679183293945607,-0.11457096418194475,0.03668095294348881,-0.01466959239196127,0.07855903746175737,-0.23349091701890695,-0.12064548748305425,0.04521592355927104,0.14243447777362495,-0.07081351382518727,0.01762938457581635,0.02721057798065868,0.049244489976369654,0.06684707797938144
wind_power_proxy,0.14254624221768952,-0.017034401614711654,-0.059936356123066206,-0.008203589436252212,0.01899386834497718,0.007442002353940534,0.06465641594453174,-0.05977353971273064,-0.051435445556088394,-0.0090166809969099,0.16234027875065138,-0.11241596744434088,-0.13129301775942193,-0.0722822582160755,-0.022834670238962268,-0.057205155750552246
wind_chill,-0.1268214089897209,-0.07997759872172162,-0.08384673454898221,-0.10999621106182979,0.023831254261144973,-0.013818205969289905,0.08558029081018204,-0.21583239086974693,-0.10223415337251503,0.0056972918492539815,0.10534724639928035,-0.03370540319474724,0.024695777838780155,0.0027464702939995547,0.03912785343140686,-0.009826071307517392
supply_margin,0.14448424299492135,-0.013466530334363111,-0.15627466071851245,0.009008143229684441,0.024199037135162416,-0.05751029995304254,-0.10962393459791288,0.03379881591145409,-0.03191521588027314,-0.013206159302005875,-0.05211072255086397,-0.06421182923544126,0.013994972135225861,0.037789715275239374,-0.08164309880591028,0.06486667490270735
conventional_gen,0.05116594811673544,0.12312579107266615,0.10291068220096271,0.06910621826883181,-0.06929690548690373,-0.006233474507190535,-0.11835884574247729,0.15713012379918737,0.06945272601022671,0.11038554072295549,-0.05839410885026047,-0.12637121105883922,0.048784884318165814,0.06323646895571507,-0.1268072017011181,0.19922272384323833
load_overnight,0.12388536153871346,0.06371887822810555,0.10321794529746758,0.02453943884759728,-0.14627612187499686,0.16513856854934647,0.03507631722738008,0.06966492660487,0.07215213290637523,0.023796563039588305,-0.021235857116501715,-0.008641558774105306,-0.06285990877457374,-0.1077601413410552,0.10106694254550233,-0.04241012246950707
load_morning,0.11015442332271519,0.058115738732888444,0.09502334852706486,-0.07116043061333101,-0.23642967576430357,0.1917737029764077,0.03272295180247648,0.029614561051821673,0.03936527766465123,0.05823879606923663,0.0160715362950436,-0.0293004395588361,-0.06134314986876176,-0.07243854208778727,0.03186959170545852,-0.06020581776892259
load_midday,0.12586034664890763,0.052686721119046,0.10884339900878065,-0.07594019222086225,-0.18270675453048804,0.15900868522671407,0.043511749819195505,0.04159563866235291,-0.005270271199759163,0.11153342128294362,0.0018550132970038473,-0.005549479436836494,-0.00648761726412714,0.003841554778183429,0.08465722205160713,-0.05287216225489022
load_evening,0.13123626972297806,0.07162623367553247,0.1250399186352534,-0.00570716190825273,-0.09718240854740197,0.11406346598927476,0.03566896527408798,0.08405812389843183,0.02250167264623957,0.12080909159666409,0.05866233852039369,-0.032125449653458184,0.036529497208260285,0.004259976368660506,0.13226682007226734,0.07354159822251682
load_night,0.12904971101101703,0.06726951008739517,0.12183772391483273,0.00036808289712566064,-0.07081189217764558,0.10460528728006091,0.04089764007041704,0.132058368818672,0.03036260610889471,0.0951079112534518,0.033728932654755274,-0.053997763216921416,0.029872910799531218,0.00987594000562317,0.14622663019045462,0.0820902657864555
solar_overnight,-0.10470903832867585,-0.06980297415349965,-0.15494058184022116,-0.01780533153177901,-0.08926450224059326,0.0780762140002305,-0.009955034956736362,0.09857690695573078,-0.05707206892287992,-0.069694095149587,0.04831514204057359,-0.16474422432514302,0.08664300343486943,-0.055178796384345946,0.013916109066273937,-0.033573720780897195
